lon,lat,lonmid,latmid,UPWdays,DNWdays
9.4053,43.0271,9.434,43.0083,4.9653,7.502
9.4677,42.9999,9.4836,42.9063,5.1647,1.6052
9.4982,42.8125,9.4688,42.7486,2.9812,1.4345
9.456,42.6698,9.5063,42.6132,3.9167,2.5625
9.551,42.5709,9.5508,42.3542,3.9732,4.1071
9.5731,42.1104,9.499,42.0051,0.1508,0.7093
9.4352,41.9188,9.4095,41.826,0.1905,1.1786
9.41,41.7177,9.3835,41.6365,3.7946,2.0784
9.3609,41.5979,9.3605,41.5781,1.3948,2.1438
9.3691,41.5667,9.3622,41.5448,16.4077,2.4782
9.3495,41.55,9.3063,41.5328,17.5655,2.5893
9.2875,41.5044,9.2615,41.4547,14.6399,1.7371
9.2361,41.4188,9.2573,41.3948,0.1964,6.2669
9.276,41.3709,9.2467,41.3333,22.751,3.5327
9.2333,41.3664,9.1651,41.3823,23.3671,4.119
9.0906,41.3881,9.0938,41.4162,0.8194,1.8998
9.1021,41.4375,9.0344,41.4642,23.2927,4.5427
8.9524,41.4865,8.8398,41.5167,15.1855,4.7589
8.7865,41.5667,8.7879,41.5802,14.1488,4.1815
8.768,41.5865,8.7844,41.6167,1.9355,4.0933
8.8136,41.6354,8.8633,41.651,3.4583,11.3681
8.9064,41.6813,8.85,41.6918,16.4613,5.5893
8.7985,41.7052,8.7833,41.702,14.5694,4.4345
8.7722,41.7219,8.7051,41.7177,10.4534,2.5893
8.651,41.7401,8.6912,41.7531,0.6935,6.3165
8.7229,41.7805,8.7135,41.7927,7.0675,1.4812
8.7031,41.7991,8.7385,41.8052,0.5883,5.9335
8.7667,41.8169,8.7637,41.8396,0,0
8.754,41.8469,8.7771,41.8707,0,0
8.7927,41.9049,8.7333,41.9125,4.1488,0.5099
8.6581,41.9042,8.6063,41.883,3.0129,0.5188
8.5763,41.8667,8.5896,41.8815,0.5069,2.62
8.6049,41.9,8.6073,41.9322,3.1458,1.3651
8.591,41.9573,8.6146,41.9764,0.3214,4.1597
8.662,41.9802,8.6537,41.9948,3.5456,1.4137
8.651,42.0057,8.6979,42.03,0.2946,3.5665
8.74,42.05,8.7177,42.0706,3.2808,0.9683
8.6909,42.0813,8.6308,42.1156,2.9067,0.9425
8.5624,42.1521,8.5719,42.1667,0.6746,2.9355
8.575,42.179,8.5688,42.2098,2.2817,3.2669
8.5417,42.2325,8.6097,42.2542,0.5546,3.9157
8.6885,42.2687,8.6438,42.298,2.0298,1.494
8.598,42.3188,8.6167,42.327,1.6954,9.6429
8.6166,42.3396,8.5542,42.3312,2.1438,1.1399
8.5365,42.3688,8.5708,42.374,1.1419,6.7688
8.6023,42.3958,8.6526,42.424,2.6835,15.7927
8.6583,42.474,8.675,42.5187,3.6022,19.2907
8.7188,42.5542,8.7108,42.5635,0.6369,3.6538
8.7063,42.5676,8.7542,42.5712,1.6766,9.8224
8.801,42.5979,8.8715,42.6198,1.6974,11.8472
8.9292,42.6432,8.9969,42.6448,1.0873,9.3621
9.0512,42.676,9.1125,42.7307,0.8442,7.7004
9.2042,42.7379,9.26,42.7198,1.0685,2.1895
9.2953,42.7031,9.3208,42.7218,0.6637,4.3313
9.3375,42.7482,9.3355,42.7688,0.4871,2.5694
9.3385,42.7948,9.3229,42.813,0.88,2.2857
9.3083,42.8332,9.3198,42.8494,1.0883,6.753
9.333,42.8667,9.3262,42.8802,0.6319,3.5942
9.3198,42.8923,9.3442,42.9135,1.5407,8.1796
9.3521,42.9438,9.3398,42.9646,0.8859,6.256
9.3406,42.9833,9.3719,43.0079,3.3899,10.9464
9.4052,43.027,,,,
